ID|Role|YearsExperience|Gender|Age|Strengths|Weaknesses|Opportunities|Threats
754|Master Gardener Volunteer|43595|Female|65+|"Offers excellent learning opportunities, has wonderful garden ""working"" sites, connects needs in community to speakers/workshop leaders (girl scouts, garden clubs, interest groups)  I like learning new things, volunteering in new locations and continued volunteer at specific sites to see development over time."|Additional quarterly meetings/learming opportunities --  I like when the Saturday offering is repeated on a Thursday or Wednesday.|Be part (already are) of the early spring events i.e. Madison, Janesville Rotary, Public Garden Day, county and WI State Fair to connect with audience and promote MGV.  These could open future opportunieis.  Expand Botany in a Classroonm---contact additional city/county schools that may be unaware of MGV as  resource.|
755|County Coordinator/Educator|43595|Female|25-44|I appreciate the state coordinator's support since I have limited background/knowledge in volunteer management. |One major weakness has been the paper collection of volunteer hours. So excited to be going to the online format and volunteers are able to complete this themselves!|"Encouraging MGV to take on new and unique projects rather than the ""same old, same old."""|Recruiting new MGVs that are open-minded, younger in age, different genders and backgrounds
756|Master Gardener Volunteer|10+|Female|65+|It provides educational opportunities that help me expand my range of capabilities.  It's exciting to work with kids and the elderly, bring in speakers and provide gardening exeprtise at events.|Weaknesses - unrealistic expectations which I sincerely believe may drive people away from the program.  People become involved as volunteers.  We all understand and agree that there need to be rules to work by, but I am seeing what I feel is a decidedly alarming trend toward almost martial strictness in those rules.  And, quite frankly, in our area we have an administrator who has shown a clear propensitiy to adhere to the old adage - penny wise and pound foolish.||
757|Master Gardener Volunteer|0-5|Female|65+|Wide variety of training|More group projects||
758|Master Gardener Volunteer|10+|Female|65+||||
759|Master Gardener Volunteer|0-5|Female|65+||||
760|Master Gardener Volunteer|43595|Female|65+||||
761|Master Gardener Volunteer|43595|Female|65+||||
762|Master Gardener Volunteer|0-5|Female|65+||||
763|Master Gardener Volunteer|0-5|Female|65+||||
764|Master Gardener Volunteer|10+|Female|65+|I did my training in 2007.  Becoming a master gardener had been on my bucket list for awhile. My perpsonal experience is that we are available to the community to help educate people on ordinary garedening subjects as well as |||
765|Master Gardener Volunteer|0-5|Female|45-64|organizational skills & efforts are at a high level for training & volunteer opportunities.  Huge variety of volunteer & educational options to satisfy nearly any topic of interest.|in my limited experience I am ill equipped to offer improvements to an already well-oiled machine.||
